index,text,Label
2800,"b'Sungguh disayangkan nilai royalti sangat kecil terhadap pendapatan, di tengah rencana pemberian pajak pada hal-hal esensial bagi rakyat. Seharusnya sumber-sumber pendapatan ini ditingkatkan. Logikanya jika ppn sembako 12%, maka royalti juga harus 12%",negatif
4922,"b'Sebelumnya, KPK telah menetapkan enam tersangka dalam kasus suap pajak, termasuk mantan pejabat Ditjen Pajak Kemenkeu Angin Prayitno Aji.",negatif
16856,"b'Dari awal pandemi semuanya uda ditanggung sama pemerinah, kita semua perlu menyehatkan kembali dana APBN negara kita. #SalingBantuEkonomi",positif
18922,"b'@hansssolo @YRadianto @blankoncoklat @Candraasmara85 @HabiebBass @kantayu @NogoSosroAsli @Penyuka_ombak @RiuRizkiUtomo_ @rizieqdivist @kenhans03 @Adi_8002 jangan hanya lahan perumahan tetapi seluruh APBD yang katanya smart itu. BIDIK SEMUANYA TERMASUK ASN BALAIKOTA YG TERLIBAT, LINGKARAN DIA DAN PARA PENIKMAT DANA HIBAH'",negatif
15832,b'Pemerintah Kabupaten Batu Bara Ekspor Produk UMKM Ke Malaysia.,positif
14079,b'@republikaonline Dulu pemerintah tidak pernah merendahkan rakyatnya dengan menilai rendah mutu dan kemampuanya namun semenjak pemerintah impor tka dari china besar besaran seringkali mucul pernyataan yang justru menyakiti dan menghina rakyat',negatif
9221,b'W kalo liat sesuatu yg berbau djp inget seseorang dhh syalandd memori nya melekat bgt di otak w',negatif
8109,"b'Bukan cuma sembako aja ternyata yg dikenai PPN, jasa pelayanan kesehatan/medis & beberapa hal lain juga ikut dibebankan pajak kalau UU ini diketuk. Demi meningkatkan pendapatan negara kok segininya, kasian rakyat kelas menengah kebawah...",negatif
6546,b'@tempodotco Ya Allah tolonglah kami sehingga p jokowi memecat sri mulyani yg tidak becus jadi menkeu. Aamiin.',negatif
15173,b'@republikaonline Ekspor? Perlindungan? Pajak? Regulasi?',negatif
1313,b'@elisa_jkt Indonesia udah ga harga mati lagi nie... Jdi harga + Ppn. Amanat kontitusi mencerdaskan anak bangsa.mlah jdi mencerdaskan anak bangsat(koruptor).',negatif
2284,"b'Ini adalah sifat penjajah. Orang kaya diberi relaksasi pajak, termasuk produsen mobil diberikan relaksasi PPnBM 0 persen, tapi rakyat untuk makan direncanakan dikenai pajak #PenguasaPemerasRakyat #PenguasaPemerasRakyat",negatif
